Molecule,Variability_CV,ParameterSetId,Parameter,Typical_value_internal,Display_unit,Parameter_value_internal
Golimumab,0.3,11,koff,0.005583,1/min,0.003987848128185497
Golimumab,0.3,11,kint,0.014433333333333333,1/min,0.01619610956248291
Golimumab,0.3,11,kdeg,0.0037166666666666667,1/min,0.002464313434582123
Golimumab,0.3,11,Target reference concentration,1e-6,µmol/l,8.500811825973966e-7
Golimumab,0.3,12,Kd (FcRn),1.07,µmol/l,0.7683957917694189
Golimumab,0.3,12,Target Kd,1.8e-5,µmol/l,1.4717501325261924e-5
Golimumab,0.3,12,koff,0.005583,1/min,0.004476689268579995
Golimumab,0.3,12,kint,0.014433333333333333,1/min,0.011818226403961006
Golimumab,0.3,12,kdeg,0.0037166666666666667,1/min,0.003888800015789747
Golimumab,0.3,12,Target reference concentration,1e-6,µmol/l,1.121049524236697e-6
Golimumab,0.3,13,Kd (FcRn),1.07,µmol/l,1.306819980155558
Golimumab,0.3,13,Target Kd,1.8e-5,µmol/l,8.47266121952039e-6
Golimumab,0.3,13,koff,0.005583,1/min,0.0051054065356872244
Golimumab,0.3,13,kint,0.014433333333333333,1/min,0.01639167658608679
Golimumab,0.3,13,kdeg,0.0037166666666666667,1/min,0.004687479243566722
Golimumab,0.3,13,Target reference concentration,1e-6,µmol/l,1.1467151803100392e-6
Golimumab,0.3,14,Kd (FcRn),1.07,µmol/l,1.5909210300099241
Golimumab,0.3,14,Target Kd,1.8e-5,µmol/l,1.2822528747351934e-5
Golimumab,0.3,14,koff,0.005583,1/min,0.004171042155857024
Golimumab,0.3,14,kint,0.014433333333333333,1/min,0.01683561304580066
Golimumab,0.3,14,kdeg,0.0037166666666666667,1/min,0.003238729622911845
Golimumab,0.3,14,Target reference concentration,1e-6,µmol/l,9.0489187911565e-7
Golimumab,0.3,15,Kd (FcRn),1.07,µmol/l,1.253008349806985
Golimumab,0.3,15,Target Kd,1.8e-5,µmol/l,2.4287325654750734e-5
Golimumab,0.3,15,koff,0.005583,1/min,0.007428111744830139
Golimumab,0.3,15,kint,0.014433333333333333,1/min,0.017872388586646804
Golimumab,0.3,15,kdeg,0.0037166666666666667,1/min,0.00332467201751837
Golimumab,0.3,15,Target reference concentration,1e-6,µmol/l,1.628411827248528e-6
Golimumab,0.3,16,Kd (FcRn),1.07,µmol/l,1.0912215278696915
Golimumab,0.3,16,Target Kd,1.8e-5,µmol/l,1.0619129148868764e-5
Golimumab,0.3,16,koff,0.005583,1/min,0.003536446201918504
Golimumab,0.3,16,kint,0.014433333333333333,1/min,0.01987893128860979
Golimumab,0.3,16,kdeg,0.0037166666666666667,1/min,0.0046512574528447675
Golimumab,0.3,16,Target reference concentration,1e-6,µmol/l,1.0272308244697087e-6
Golimumab,0.3,17,Kd (FcRn),1.07,µmol/l,0.6437438827042326
Golimumab,0.3,17,Target Kd,1.8e-5,µmol/l,9.635257554563057e-6
Golimumab,0.3,17,koff,0.005583,1/min,0.004386059523892689
Golimumab,0.3,17,kint,0.014433333333333333,1/min,0.011929115095217099
Golimumab,0.3,17,kdeg,0.0037166666666666667,1/min,0.004600210619819752
Golimumab,0.3,17,Target reference concentration,1e-6,µmol/l,1.0886363923452501e-6
Golimumab,0.3,18,Kd (FcRn),1.07,µmol/l,1.497877629309969
Golimumab,0.3,18,Target Kd,1.8e-5,µmol/l,1.6327401926975664e-5
Golimumab,0.3,18,koff,0.005583,1/min,0.004727304860164716
Golimumab,0.3,18,kint,0.014433333333333333,1/min,0.01967528865137928
Golimumab,0.3,18,kdeg,0.0037166666666666667,1/min,0.00373484137991585
Golimumab,0.3,18,Target reference concentration,1e-6,µmol/l,9.409619601191064e-7
Golimumab,0.3,19,Kd (FcRn),1.07,µmol/l,0.7274083462297627
Golimumab,0.3,19,Target Kd,1.8e-5,µmol/l,1.3337751502068053e-5
Golimumab,0.3,19,koff,0.005583,1/min,0.0055360649884357346
Golimumab,0.3,19,kint,0.014433333333333333,1/min,0.018608691840166006
Golimumab,0.3,19,kdeg,0.0037166666666666667,1/min,0.004310399528729493
Golimumab,0.3,19,Target reference concentration,1e-6,µmol/l,8.957851111733127e-7
Golimumab,0.3,20,Kd (FcRn),1.07,µmol/l,1.203524561282881
Golimumab,0.3,20,Target Kd,1.8e-5,µmol/l,1.8132587151076757e-5
Golimumab,0.3,20,koff,0.005583,1/min,0.0071479437850437
Golimumab,0.3,20,kint,0.014433333333333333,1/min,0.012577220403593884
Golimumab,0.3,20,kdeg,0.0037166666666666667,1/min,0.0033093150023811996
Golimumab,0.3,20,Target reference concentration,1e-6,µmol/l,5.781421067848383e-7
Golimumab,0.3,21,Kd (FcRn),1.07,µmol/l,0.7315829752596225
Golimumab,0.3,21,Target Kd,1.8e-5,µmol/l,2.1907058879883606e-5
Golimumab,0.3,21,koff,0.005583,1/min,0.007018482906544471
Golimumab,0.3,21,kint,0.014433333333333333,1/min,0.021931128067440055
Golimumab,0.3,21,kdeg,0.0037166666666666667,1/min,0.007102169021816014
Golimumab,0.3,21,Target reference concentration,1e-6,µmol/l,9.766819259783521e-7
Golimumab,0.3,22,Kd (FcRn),1.07,µmol/l,1.003171624496721
Golimumab,0.3,22,Target Kd,1.8e-5,µmol/l,2.6885032952821567e-5
Golimumab,0.3,22,koff,0.005583,1/min,0.005245350211652503
Golimumab,0.3,22,kint,0.014433333333333333,1/min,0.012928703079608694
Golimumab,0.3,22,kdeg,0.0037166666666666667,1/min,0.001471198292840312
Golimumab,0.3,22,Target reference concentration,1e-6,µmol/l,8.764268777149419e-7
Golimumab,0.3,23,Kd (FcRn),1.07,µmol/l,0.8589272804970335
Golimumab,0.3,23,Target Kd,1.8e-5,µmol/l,1.5894139641479502e-5
Golimumab,0.3,23,koff,0.005583,1/min,0.005804072352184835
Golimumab,0.3,23,kint,0.014433333333333333,1/min,0.01792934004671121
Golimumab,0.3,23,kdeg,0.0037166666666666667,1/min,0.004257368117903335
Golimumab,0.3,23,Target reference concentration,1e-6,µmol/l,1.4949458492327086e-6
Golimumab,0.3,24,Kd (FcRn),1.07,µmol/l,1.0901569433732483
Golimumab,0.3,24,Target Kd,1.8e-5,µmol/l,1.5613610070548256e-5
Golimumab,0.3,24,koff,0.005583,1/min,0.004758800630360453
Golimumab,0.3,24,kint,0.014433333333333333,1/min,0.014050276081472727
Golimumab,0.3,24,kdeg,0.0037166666666666667,1/min,0.0038285624115337647
Golimumab,0.3,24,Target reference concentration,1e-6,µmol/l,1.509788120174501e-6
Golimumab,0.3,25,Kd (FcRn),1.07,µmol/l,1.1430558259374575
Golimumab,0.3,25,Target Kd,1.8e-5,µmol/l,2.4486422053489138e-5
Golimumab,0.3,25,koff,0.005583,1/min,0.005233656336121301
Golimumab,0.3,25,kint,0.014433333333333333,1/min,0.015270131713948497
Golimumab,0.3,25,kdeg,0.0037166666666666667,1/min,0.002177574384572582
Golimumab,0.3,25,Target reference concentration,1e-6,µmol/l,1.0831545824431283e-6
Golimumab,0.3,26,Kd (FcRn),1.07,µmol/l,1.23728244568828
Golimumab,0.3,26,Target Kd,1.8e-5,µmol/l,1.4369742873790002e-5
Golimumab,0.3,26,koff,0.005583,1/min,0.00413795391708262
Golimumab,0.3,26,kint,0.014433333333333333,1/min,0.014401447931504453
Golimumab,0.3,26,kdeg,0.0037166666666666667,1/min,0.00536128057256983
Golimumab,0.3,26,Target reference concentration,1e-6,µmol/l,6.907660062098361e-7
Golimumab,0.3,27,Kd (FcRn),1.07,µmol/l,1.4343719502705303
Golimumab,0.3,27,Target Kd,1.8e-5,µmol/l,1.4192636511766416e-5
Golimumab,0.3,27,koff,0.005583,1/min,0.005546065874390302
Golimumab,0.3,27,kint,0.014433333333333333,1/min,0.013601672374910879
Golimumab,0.3,27,kdeg,0.0037166666666666667,1/min,0.005367434301126012
Golimumab,0.3,27,Target reference concentration,1e-6,µmol/l,1.2751560754600788e-6
Golimumab,0.3,28,Kd (FcRn),1.07,µmol/l,0.9082398408955851
Golimumab,0.3,28,Target Kd,1.8e-5,µmol/l,1.4837580356302709e-5
Golimumab,0.3,28,koff,0.005583,1/min,0.0084382379973157
Golimumab,0.3,28,kint,0.014433333333333333,1/min,0.008851909994523972
Golimumab,0.3,28,kdeg,0.0037166666666666667,1/min,0.002625753721913065
Golimumab,0.3,28,Target reference concentration,1e-6,µmol/l,6.646467533692468e-7
Golimumab,0.3,29,Kd (FcRn),1.07,µmol/l,0.8112304643585722
Golimumab,0.3,29,Target Kd,1.8e-5,µmol/l,1.5660330947558684e-5
Golimumab,0.3,29,koff,0.005583,1/min,0.0039623786762764505
Golimumab,0.3,29,kint,0.014433333333333333,1/min,0.014174779465413066
Golimumab,0.3,29,kdeg,0.0037166666666666667,1/min,0.0029611434338865294
Golimumab,0.3,29,Target reference concentration,1e-6,µmol/l,1.098752199134449e-6
Golimumab,0.3,30,Kd (FcRn),1.07,µmol/l,0.9517491555195474
Golimumab,0.3,30,Target Kd,1.8e-5,µmol/l,2.32352916980282e-5
Golimumab,0.3,30,koff,0.005583,1/min,0.005021217661563712
Golimumab,0.3,30,kint,0.014433333333333333,1/min,0.009202539019255402
Golimumab,0.3,30,kdeg,0.0037166666666666667,1/min,0.0029169908113788365
Golimumab,0.3,30,Target reference concentration,1e-6,µmol/l,1.5856296690696416e-6
Golimumab,0.3,31,Kd (FcRn),1.07,µmol/l,1.0129849085283709
Golimumab,0.3,31,Target Kd,1.8e-5,µmol/l,1.2081201832439967e-5
Golimumab,0.3,31,koff,0.005583,1/min,0.005969829042363035
Golimumab,0.3,31,kint,0.014433333333333333,1/min,0.019840784516968624
Golimumab,0.3,31,kdeg,0.0037166666666666667,1/min,0.002123392651165626
Golimumab,0.3,31,Target reference concentration,1e-6,µmol/l,7.90442611730713e-7
Golimumab,0.3,32,Kd (FcRn),1.07,µmol/l,1.6127956561847694
Golimumab,0.3,32,Target Kd,1.8e-5,µmol/l,1.679774845706049e-5
Golimumab,0.3,32,koff,0.005583,1/min,0.007348084889637926
Golimumab,0.3,32,kint,0.014433333333333333,1/min,0.012864672658434063
Golimumab,0.3,32,kdeg,0.0037166666666666667,1/min,0.0043373250250390615
Golimumab,0.3,32,Target reference concentration,1e-6,µmol/l,1.0175420849796819e-6
Golimumab,0.3,33,Kd (FcRn),1.07,µmol/l,1.261037289934039
Golimumab,0.3,33,Target Kd,1.8e-5,µmol/l,1.5929190014330855e-5
Golimumab,0.3,33,koff,0.005583,1/min,0.004644800335269089
Golimumab,0.3,33,kint,0.014433333333333333,1/min,0.025186658925536072
Golimumab,0.3,33,kdeg,0.0037166666666666667,1/min,0.004956136640575933
Golimumab,0.3,33,Target reference concentration,1e-6,µmol/l,9.66580202191012e-7
Golimumab,0.3,34,Kd (FcRn),1.07,µmol/l,1.1542431714462884
Golimumab,0.3,34,Target Kd,1.8e-5,µmol/l,1.523738326448807e-5
Golimumab,0.3,34,koff,0.005583,1/min,0.004305994062194722
Golimumab,0.3,34,kint,0.014433333333333333,1/min,0.015763678186021358
Golimumab,0.3,34,kdeg,0.0037166666666666667,1/min,0.0016935516228779991
Golimumab,0.3,34,Target reference concentration,1e-6,µmol/l,1.0156705248261264e-6
Golimumab,0.3,35,Kd (FcRn),1.07,µmol/l,1.2484227394182092
Golimumab,0.3,35,Target Kd,1.8e-5,µmol/l,1.7735917174605583e-5
Golimumab,0.3,35,koff,0.005583,1/min,0.009330788536932214
Golimumab,0.3,35,kint,0.014433333333333333,1/min,0.014740540451475725
Golimumab,0.3,35,kdeg,0.0037166666666666667,1/min,0.003408783143019193
Golimumab,0.3,35,Target reference concentration,1e-6,µmol/l,1.2483634706986542e-6
Golimumab,0.3,36,Kd (FcRn),1.07,µmol/l,1.3211706171014834
Golimumab,0.3,36,Target Kd,1.8e-5,µmol/l,2.187957996556379e-5
Golimumab,0.3,36,koff,0.005583,1/min,0.005561357677165523
Golimumab,0.3,36,kint,0.014433333333333333,1/min,0.015171617849577405
Golimumab,0.3,36,kdeg,0.0037166666666666667,1/min,0.004780542426676686
Golimumab,0.3,36,Target reference concentration,1e-6,µmol/l,1.333202132632086e-6
Golimumab,0.3,37,Kd (FcRn),1.07,µmol/l,1.4563305772869775
Golimumab,0.3,37,Target Kd,1.8e-5,µmol/l,1.8678286089098585e-5
Golimumab,0.3,37,koff,0.005583,1/min,0.011190722224153243
Golimumab,0.3,37,kint,0.014433333333333333,1/min,0.009651876213104062
Golimumab,0.3,37,kdeg,0.0037166666666666667,1/min,0.0040218671080137
Golimumab,0.3,37,Target reference concentration,1e-6,µmol/l,1.1147335405250812e-6
Golimumab,0.3,38,Kd (FcRn),1.07,µmol/l,1.1921331865860487
Golimumab,0.3,38,Target Kd,1.8e-5,µmol/l,1.278219474061425e-5
Golimumab,0.3,38,koff,0.005583,1/min,0.006253466545555706
Golimumab,0.3,38,kint,0.014433333333333333,1/min,0.016892355537830517
Golimumab,0.3,38,kdeg,0.0037166666666666667,1/min,0.0035090878083126296
Golimumab,0.3,38,Target reference concentration,1e-6,µmol/l,8.843514547844221e-7
Golimumab,0.3,39,Kd (FcRn),1.07,µmol/l,2.542261122471829
Golimumab,0.3,39,Target Kd,1.8e-5,µmol/l,2.219185322066256e-5
Golimumab,0.3,39,koff,0.005583,1/min,0.0037618744218982443
Golimumab,0.3,39,kint,0.014433333333333333,1/min,0.017927129828493787
Golimumab,0.3,39,kdeg,0.0037166666666666667,1/min,0.003443195844716375
Golimumab,0.3,39,Target reference concentration,1e-6,µmol/l,9.794172302790443e-7
Golimumab,0.3,40,Kd (FcRn),1.07,µmol/l,1.3408494672946225
Golimumab,0.3,40,Target Kd,1.8e-5,µmol/l,1.9100026366641e-5
Golimumab,0.3,40,koff,0.005583,1/min,0.004298194508118045
Golimumab,0.3,40,kint,0.014433333333333333,1/min,0.01098574582261274
Golimumab,0.3,40,kdeg,0.0037166666666666667,1/min,0.006259950413693684
Golimumab,0.3,40,Target reference concentration,1e-6,µmol/l,9.867623333854198e-7
Golimumab,0.3,41,Kd (FcRn),1.07,µmol/l,1.335048458817695
Golimumab,0.3,41,Target Kd,1.8e-5,µmol/l,2.2943954417793773e-5
Golimumab,0.3,41,koff,0.005583,1/min,0.005351882109257608
Golimumab,0.3,41,kint,0.014433333333333333,1/min,0.013505973367109767
Golimumab,0.3,41,kdeg,0.0037166666666666667,1/min,0.0015877599205063595
Golimumab,0.3,41,Target reference concentration,1e-6,µmol/l,7.673077824641173e-7
Golimumab,0.3,42,Kd (FcRn),1.07,µmol/l,1.1657803661363508
Golimumab,0.3,42,Target Kd,1.8e-5,µmol/l,1.6842038583355907e-5
Golimumab,0.3,42,koff,0.005583,1/min,0.003968576096530356
Golimumab,0.3,42,kint,0.014433333333333333,1/min,0.013583711465052635
Golimumab,0.3,42,kdeg,0.0037166666666666667,1/min,0.0026099461477062766
Golimumab,0.3,42,Target reference concentration,1e-6,µmol/l,9.016539613055047e-7
Golimumab,0.3,43,Kd (FcRn),1.07,µmol/l,0.7290363115961304
Golimumab,0.3,43,Target Kd,1.8e-5,µmol/l,1.710563971872483e-5
Golimumab,0.3,43,koff,0.005583,1/min,0.0037714202056731818
Golimumab,0.3,43,kint,0.014433333333333333,1/min,0.01275934319062071
Golimumab,0.3,43,kdeg,0.0037166666666666667,1/min,0.00321963873110622
Golimumab,0.3,43,Target reference concentration,1e-6,µmol/l,1.3051687753358421e-6
Golimumab,0.3,44,Kd (FcRn),1.07,µmol/l,0.6077383710502455
Golimumab,0.3,44,Target Kd,1.8e-5,µmol/l,1.6263698897449266e-5
Golimumab,0.3,44,koff,0.005583,1/min,0.005951665531267861
Golimumab,0.3,44,kint,0.014433333333333333,1/min,0.011001671479926723
Golimumab,0.3,44,kdeg,0.0037166666666666667,1/min,0.002946847315765881
Golimumab,0.3,44,Target reference concentration,1e-6,µmol/l,8.657145018346101e-7
Golimumab,0.3,45,Kd (FcRn),1.07,µmol/l,0.9457995093214083
Golimumab,0.3,45,Target Kd,1.8e-5,µmol/l,1.5555144934699885e-5
Golimumab,0.3,45,koff,0.005583,1/min,0.008009266447633905
Golimumab,0.3,45,kint,0.014433333333333333,1/min,0.013702636718249995
Golimumab,0.3,45,kdeg,0.0037166666666666667,1/min,0.0036035897310451375
Golimumab,0.3,45,Target reference concentration,1e-6,µmol/l,6.809246879711654e-7
Golimumab,0.3,46,Kd (FcRn),1.07,µmol/l,1.5192887028298772
Golimumab,0.3,46,Target Kd,1.8e-5,µmol/l,2.1888842906369632e-5
Golimumab,0.3,46,koff,0.005583,1/min,0.007667193140349281
Golimumab,0.3,46,kint,0.014433333333333333,1/min,0.014556649680628937
Golimumab,0.3,46,kdeg,0.0037166666666666667,1/min,0.004571054189308361
Golimumab,0.3,46,Target reference concentration,1e-6,µmol/l,9.564231913496404e-7
Golimumab,0.3,47,Kd (FcRn),1.07,µmol/l,1.196613076708467
Golimumab,0.3,47,Target Kd,1.8e-5,µmol/l,2.1202278049727822e-5
Golimumab,0.3,47,koff,0.005583,1/min,0.004510117810471106
Golimumab,0.3,47,kint,0.014433333333333333,1/min,0.010421962820987785
Golimumab,0.3,47,kdeg,0.0037166666666666667,1/min,0.004305978772420561
Golimumab,0.3,47,Target reference concentration,1e-6,µmol/l,1.1599683505875513e-6
Golimumab,0.3,48,Kd (FcRn),1.07,µmol/l,0.9364923815795355
Golimumab,0.3,48,Target Kd,1.8e-5,µmol/l,1.80512532026116e-5
Golimumab,0.3,48,koff,0.005583,1/min,0.005659526997196306
Golimumab,0.3,48,kint,0.014433333333333333,1/min,0.0076057381486444925
Golimumab,0.3,48,kdeg,0.0037166666666666667,1/min,0.003845606900765503
Golimumab,0.3,48,Target reference concentration,1e-6,µmol/l,1.624015017237236e-6
Golimumab,0.3,49,Kd (FcRn),1.07,µmol/l,0.8452833201146085
Golimumab,0.3,49,Target Kd,1.8e-5,µmol/l,2.088345014047928e-5
Golimumab,0.3,49,koff,0.005583,1/min,0.0045680755696274646
Golimumab,0.3,49,kint,0.014433333333333333,1/min,0.009892339819366611
Golimumab,0.3,49,kdeg,0.0037166666666666667,1/min,0.005507640135893555
Golimumab,0.3,49,Target reference concentration,1e-6,µmol/l,1.0390451894492498e-6
Golimumab,0.3,50,Kd (FcRn),1.07,µmol/l,1.1918860492879
Golimumab,0.3,50,Target Kd,1.8e-5,µmol/l,3.4108525396869944e-5
Golimumab,0.3,50,koff,0.005583,1/min,0.004821782673295253
Golimumab,0.3,50,kint,0.014433333333333333,1/min,0.02560513169816816
Golimumab,0.3,50,kdeg,0.0037166666666666667,1/min,0.005518929562492723
Golimumab,0.3,50,Target reference concentration,1e-6,µmol/l,8.894197084896947e-7
Golimumab,0.3,51,Kd (FcRn),1.07,µmol/l,0.8594380203018959
Golimumab,0.3,51,Target Kd,1.8e-5,µmol/l,1.8341931195086937e-5
Golimumab,0.3,51,koff,0.005583,1/min,0.004430415624310536
Golimumab,0.3,51,kint,0.014433333333333333,1/min,0.008913524830296532
Golimumab,0.3,51,kdeg,0.0037166666666666667,1/min,0.00238136141166666
Golimumab,0.3,51,Target reference concentration,1e-6,µmol/l,8.927303368009345e-7
Golimumab,0.3,52,Kd (FcRn),1.07,µmol/l,1.3142653302097844
Golimumab,0.3,52,Target Kd,1.8e-5,µmol/l,2.2418507967167628e-5
Golimumab,0.3,52,koff,0.005583,1/min,0.004306236326920958
Golimumab,0.3,52,kint,0.014433333333333333,1/min,0.013875143219121835
Golimumab,0.3,52,kdeg,0.0037166666666666667,1/min,0.005353007981978307
Golimumab,0.3,52,Target reference concentration,1e-6,µmol/l,6.236390546652417e-7
Golimumab,0.3,53,Kd (FcRn),1.07,µmol/l,0.8755090277285077
Golimumab,0.3,53,Target Kd,1.8e-5,µmol/l,2.3262626053346803e-5
Golimumab,0.3,53,koff,0.005583,1/min,0.003397529016918687
Golimumab,0.3,53,kint,0.014433333333333333,1/min,0.018155740803774554
Golimumab,0.3,53,kdeg,0.0037166666666666667,1/min,0.0031406723694159225
Golimumab,0.3,53,Target reference concentration,1e-6,µmol/l,7.404069446179934e-7
Golimumab,0.3,54,Kd (FcRn),1.07,µmol/l,1.698535529404404
Golimumab,0.3,54,Target Kd,1.8e-5,µmol/l,1.438860700087509e-5
Golimumab,0.3,54,koff,0.005583,1/min,0.0062694426231884245
Golimumab,0.3,54,kint,0.014433333333333333,1/min,0.016667374361415948
Golimumab,0.3,54,kdeg,0.0037166666666666667,1/min,0.0025473284294665454
Golimumab,0.3,54,Target reference concentration,1e-6,µmol/l,1.2751522426454561e-6
Golimumab,0.3,55,Kd (FcRn),1.07,µmol/l,1.1758304652046134
Golimumab,0.3,55,Target Kd,1.8e-5,µmol/l,2.219420019868966e-5
Golimumab,0.3,55,koff,0.005583,1/min,0.0031376774427523324
Golimumab,0.3,55,kint,0.014433333333333333,1/min,0.018372245139352095
Golimumab,0.3,55,kdeg,0.0037166666666666667,1/min,0.0036409477318634182
Golimumab,0.3,55,Target reference concentration,1e-6,µmol/l,1.107134061800084e-6
Golimumab,0.3,56,Kd (FcRn),1.07,µmol/l,0.9715996073531133
Golimumab,0.3,56,Target Kd,1.8e-5,µmol/l,2.0890945329225457e-5
Golimumab,0.3,56,koff,0.005583,1/min,0.0040081330264115115
Golimumab,0.3,56,kint,0.014433333333333333,1/min,0.00814646673055012
Golimumab,0.3,56,kdeg,0.0037166666666666667,1/min,0.002209975925247524
Golimumab,0.3,56,Target reference concentration,1e-6,µmol/l,9.895544430601243e-7
Golimumab,0.3,57,Kd (FcRn),1.07,µmol/l,0.9584160966055728
Golimumab,0.3,57,Target Kd,1.8e-5,µmol/l,1.7837995423806132e-5
Golimumab,0.3,57,koff,0.005583,1/min,0.006547709123644227
Golimumab,0.3,57,kint,0.014433333333333333,1/min,0.021758013347362055
Golimumab,0.3,57,kdeg,0.0037166666666666667,1/min,0.0036121605019483654
Golimumab,0.3,57,Target reference concentration,1e-6,µmol/l,1.035765925823871e-6
Golimumab,0.3,58,Kd (FcRn),1.07,µmol/l,0.7640788658229888
Golimumab,0.3,58,Target Kd,1.8e-5,µmol/l,1.2274454253223347e-5
Golimumab,0.3,58,koff,0.005583,1/min,0.005265630288868046
Golimumab,0.3,58,kint,0.014433333333333333,1/min,0.01979453989631693
Golimumab,0.3,58,kdeg,0.0037166666666666667,1/min,0.002786497692245553
Golimumab,0.3,58,Target reference concentration,1e-6,µmol/l,1.2905622412039343e-6
Golimumab,0.3,59,Kd (FcRn),1.07,µmol/l,0.9614077399762412
Golimumab,0.3,59,Target Kd,1.8e-5,µmol/l,1.3509237570491866e-5
Golimumab,0.3,59,koff,0.005583,1/min,0.0023277567739250766
Golimumab,0.3,59,kint,0.014433333333333333,1/min,0.009356069609901114
Golimumab,0.3,59,kdeg,0.0037166666666666667,1/min,0.005423956200003261
Golimumab,0.3,59,Target reference concentration,1e-6,µmol/l,1.3823120134315188e-6
