#Project: Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PK-Sim version: 12.2.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndividualId,Gender,Population,Population Name,Organism|Weight [kg],Organism|Ontogeny factor (alpha1-acid glycoprotein) table,Organism|Ontogeny factor (albumin) table,Organism|Hematocrit,Organism|Ontogeny factor (albumin),Organism|Ontogeny factor (alpha1-acid glycoprotein),Organism|VenousBlood|Volume [l],Organism|ArterialBlood|Volume [l],Organism|Bone|Specific blood flow rate [l/min/kg organ],Organism|Bone|Volume [l],Organism|Brain|Volume [l],Organism|Brain|Specific blood flow rate [l/min/kg organ],Organism|Fat|Volume [l],Organism|Fat|Vf (lipid),Organism|Fat|Vf (neutral lipid)-PT,Organism|Fat|Vf (phospholipid)-PT,Organism|Fat|Fraction interstitial,Organism|Fat|Vf (water),Organism|Fat|Vf (water)-PT,Organism|Fat|Vf (neutral lipid)-RR,Organism|Fat|Vf (neutral lipid)-WS,Organism|Fat|Vf (neutral phospholipid)-RR,"Organism|Fat|Vf (neutral phospholipid, plasma)-WS",Organism|Fat|Vf (extracellular water)-RR,Organism|Fat|Vf (intracellular water)-RR,Organism|Fat|Vf (water)-WS,Organism|Fat|Specific blood flow rate [l/min/kg organ],Organism|Gonads|Volume [l],Organism|Gonads|Specific blood flow rate [l/min/kg organ],Organism|Heart|Volume [l],Organism|Heart|Specific blood flow rate [l/min/kg organ],Organism|Kidney|Volume [l],Organism|Kidney|GFR (specific) [l/min/kg organ],Organism|Kidney|Specific blood flow rate [l/min/kg organ],Organism|Lumen|Effective surface area variability factor,Organism|Lumen|Stomach|Distal radius [dm],Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor,Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor,Organism|Lumen|Stomach|Length [dm],Organism|Lumen|Stomach|Proximal radius [dm],Organism|Lumen|Stomach|Gastric emptying time [min],Organism|Lumen|Duodenum|Effective surface area enhancement factor,Organism|Lumen|UpperJejunum|Effective surface area enhancement factor,Organism|Lumen|LowerJejunum|Effective surface area enhancement factor,Organism|Lumen|UpperIleum|Effective surface area enhancement factor,Organism|Lumen|LowerIleum|Effective surface area enhancement factor,Organism|Lumen|Caecum|Effective surface area enhancement factor,Organism|Lumen|ColonAscendens|Effective surface area enhancement factor,Organism|Lumen|ColonTransversum|Effective surface area enhancement factor,Organism|Lumen|ColonDescendens|Effective surface area enhancement factor,Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor,Organism|Lumen|Rectum|Effective surface area enhancement factor,Organism|Stomach|Volume [l],Organism|Stomach|Specific blood flow rate [l/min/kg organ],Organism|SmallIntestine|Small intestinal transit time [min],Organism|SmallIntestine|Volume [l],Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ],Organism|LargeIntestine|Large intestinal transit time [min],Organism|LargeIntestine|Volume [l],Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ],Organism|Liver|Volume [l],Organism|Liver|Specific blood flow rate [l/min/kg organ],Organism|Lung|Volume [l],Organism|Lung|Fraction vascular,Organism|Muscle|Volume [l],Organism|Muscle|Vf (lipid),Organism|Muscle|Vf (neutral lipid)-PT,Organism|Muscle|Vf (phospholipid)-PT,Organism|Muscle|Vf (protein),Organism|Muscle|Vf (water),Organism|Muscle|Vf (water)-PT,Organism|Muscle|Fraction interstitial,Organism|Muscle|Vf (neutral lipid)-RR,Organism|Muscle|Vf (neutral lipid)-WS,Organism|Muscle|Vf (neutral phospholipid)-RR,"Organism|Muscle|Vf (neutral phospholipid, plasma)-WS",Organism|Muscle|Vf (extracellular water)-RR,Organism|Muscle|Vf (protein)-WS,Organism|Muscle|Vf (intracellular water)-RR,Organism|Muscle|Vf (water)-WS,Organism|Muscle|Specific blood flow rate [l/min/kg organ],Organism|Pancreas|Volume [l],Organism|Pancreas|Specific blood flow rate [l/min/kg organ],Organism|PortalVein|Volume [l],Organism|Skin|Volume [l],Organism|Skin|Specific blood flow rate [l/min/kg organ],Organism|Spleen|Volume [l],Organism|Spleen|Specific blood flow rate [l/min/kg organ]
10,UNKNOWN,Dog,Dog,11.76842519,1,1,0.43,1,1,0.351768951,0.152943022,0.01113499,1.684227107,0.069596162,1.800584363,2.087884843,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004321164,0.14,0.059852699,0.625222961,0.135016553,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.033406158,0.258704648,151,0.141734184,1.042073171,2898,0.06844724,1.0625,0.296479648,0.131174189,0.118313474,0.626,5.915673721,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.025054618,0.57489924,0.086423283,0.506660056,0.031215133,0.030622311,0.376297666
11,UNKNOWN,Dog,Dog,10.40114,1,1,0.43,1,1,0.310899551,0.135173718,0.01113499,1.488549372,0.061510305,1.800584363,1.845309139,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.00381912,0.14,0.052898862,0.625222961,0.119329991,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.029524946,0.258704648,151,0.125267151,1.042073171,2898,0.060494868,1.0625,0.262033898,0.131174189,0.104567518,0.626,5.228375893,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.022143709,0.57489924,0.076382409,0.447795018,0.031215133,0.027064534,0.376297666
12,UNKNOWN,Dog,Dog,9.688772553,1,1,0.43,1,1,0.289606239,0.125915756,0.01113499,1.386599575,0.057297503,1.800584363,1.718925092,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.003557551,0.14,0.049275853,0.625222961,0.111157156,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.027502802,0.258704648,151,0.116687683,1.042073171,2898,0.056351613,1.0625,0.244087363,0.131174189,0.097405755,0.626,4.870287761,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.020627101,0.57489924,0.071151026,0.417125823,0.031215133,0.025210901,0.376297666
13,UNKNOWN,Dog,Dog,9.781025489,1,1,0.43,1,1,0.292363763,0.12711468,0.01113499,1.399802267,0.057843069,1.800584363,1.735292066,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.003591425,0.14,0.049745039,0.625222961,0.112215554,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.027764673,0.258704648,151,0.117798741,1.042073171,2898,0.056888172,1.0625,0.246411473,0.131174189,0.098333217,0.626,4.916660853,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.020823505,0.57489924,0.0718285,0.421097542,0.031215133,0.02545095,0.376297666
14,UNKNOWN,Dog,Dog,9.279369259,1,1,0.43,1,1,0.277368801,0.120595131,0.01113499,1.328008207,0.054876372,1.800584363,1.646291166,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.003407225,0.14,0.04719368,0.625222961,0.106460162,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.026340659,0.258704648,151,0.111756995,1.042073171,2898,0.053970451,1.0625,0.233773345,0.131174189,0.093289833,0.626,4.664491636,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.019755494,0.57489924,0.068144509,0.39949999,0.031215133,0.024145604,0.376297666
15,UNKNOWN,Dog,Dog,13.08775473,1,1,0.43,1,1,0.391204913,0.170089092,0.01113499,1.873041714,0.077398418,1.800584363,2.321952537,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004805599,0.14,0.066562639,0.625222961,0.150152931,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.037151241,0.258704648,151,0.157623659,1.042073171,2898,0.076120694,1.0625,0.32971726,0.131174189,0.13157731,0.626,6.578865522,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.02786343,0.57489924,0.096111987,0.563460483,0.031215133,0.034055304,0.376297666
16,UNKNOWN,Dog,Dog,11.71355839,1,1,0.43,1,1,0.350128932,0.15222997,0.01113499,1.676374896,0.06927169,1.800584363,2.078150697,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004301018,0.14,0.059573653,0.625222961,0.134387079,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.033250411,0.258704648,151,0.14107339,1.042073171,2898,0.068128125,1.0625,0.295097399,0.131174189,0.117761873,0.626,5.888093642,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.024937808,0.57489924,0.08602036,0.504297903,0.031215133,0.030479543,0.376297666
17,UNKNOWN,Dog,Dog,11.85887294,1,1,0.43,1,1,0.354472516,0.154118485,0.01113499,1.697171451,0.070131052,1.800584363,2.103931551,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004354375,0.14,0.060312704,0.625222961,0.13605424,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.033662905,0.258704648,151,0.1428235,1.042073171,2898,0.0689733,1.0625,0.29875828,0.131174189,0.119222788,0.626,5.961139394,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.025247178,0.57489924,0.0870875,0.510554057,0.031215133,0.030857663,0.376297666
18,UNKNOWN,Dog,Dog,12.85496739,1,1,0.43,1,1,0.384246687,0.167063777,0.01113499,1.839726572,0.076021759,1.800584363,2.280652775,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004720124,0.14,0.065378713,0.625222961,0.147482213,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.036490445,0.258704648,151,0.154820062,1.042073171,2898,0.074766762,1.0625,0.323852694,0.131174189,0.129236991,0.626,6.461849528,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.027367833,0.57489924,0.094402477,0.553438407,0.031215133,0.033449574,0.376297666
19,UNKNOWN,Dog,Dog,11.27102918,1,1,0.43,1,1,0.336901331,0.146478839,0.01113499,1.613042744,0.066654659,1.800584363,1.999639765,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004138529,0.14,0.057323006,0.625222961,0.129310038,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.031994237,0.258704648,151,0.135743746,1.042073171,2898,0.065554297,1.0625,0.283948847,0.131174189,0.11331292,0.626,5.665646001,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.023995677,0.57489924,0.082770577,0.485245917,0.031215133,0.02932805,0.376297666
20,UNKNOWN,Dog,Dog,12.36436924,1,1,0.43,1,1,0.369582261,0.16068794,0.01113499,1.769515078,0.073120458,1.800584363,2.193613733,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004539985,0.14,0.062883594,0.625222961,0.141853688,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.03509782,0.258704648,151,0.148911495,1.042073171,2898,0.071913356,1.0625,0.31149315,0.131174189,0.124304778,0.626,6.21523891,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.026323365,0.57489924,0.090799692,0.532316933,0.031215133,0.032173001,0.376297666
21,UNKNOWN,Dog,Dog,11.65769124,1,1,0.43,1,1,0.348459012,0.151503918,0.01113499,1.668379521,0.068941303,1.800584363,2.068239075,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004280505,0.14,0.05928952,0.625222961,0.133746127,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.033091826,0.258704648,151,0.140400549,1.042073171,2898,0.067803192,1.0625,0.293689949,0.131174189,0.117200214,0.626,5.860010713,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.024818869,0.57489924,0.085610091,0.501892683,0.031215133,0.030334173,0.376297666
