IndividualId,Gender,Population,Population Name,Organism|Weight [kg],Organism|Ontogeny factor (albumin),Organism|Ontogeny factor (alpha1-acid glycoprotein),Organism|Ontogeny factor (alpha1-acid glycoprotein) table,Organism|Ontogeny factor (albumin) table,Organism|BMI [kg/dm²],Organism|BSA [dm²],Organism|Age [year(s)],Organism|Gestational age [week(s)],Organism|Height [dm],Organism|Hematocrit,Organism|VenousBlood|Volume [l],Organism|ArterialBlood|Volume [l],Organism|Bone|Specific blood flow rate [l/min/kg organ],Organism|Bone|Volume [l],Organism|Brain|Volume [l],Organism|Brain|Specific blood flow rate [l/min/kg organ],Organism|Fat|Volume [l],Organism|Fat|Vf (lipid),Organism|Fat|Vf (neutral lipid)-PT,Organism|Fat|Vf (phospholipid)-PT,Organism|Fat|Fraction interstitial,Organism|Fat|Vf (water),Organism|Fat|Vf (water)-PT,Organism|Fat|Vf (neutral lipid)-RR,Organism|Fat|Vf (neutral lipid)-WS,Organism|Fat|Vf (neutral phospholipid)-RR,"Organism|Fat|Vf (neutral phospholipid, plasma)-WS",Organism|Fat|Vf (extracellular water)-RR,Organism|Fat|Vf (intracellular water)-RR,Organism|Fat|Vf (water)-WS,Organism|Fat|Specific blood flow rate [l/min/kg organ],Organism|Gonads|Volume [l],Organism|Gonads|Specific blood flow rate [l/min/kg organ],Organism|Heart|Volume [l],Organism|Heart|Specific blood flow rate [l/min/kg organ],Organism|Kidney|Volume [l],Organism|Kidney|Age of aging onset [year(s)],Organism|Kidney|Aging half-time [year(s)],Organism|Kidney|GFRmat [l/min],Organism|Kidney|Hill coefficient for aging GFR,Organism|Kidney|Hill coefficient for GFR,Organism|Kidney|Maximal decreasing rate factor,Organism|Kidney|TM50 for GFR [week(s)],Organism|Kidney|Specific blood flow rate [l/min/kg organ],Organism|Lumen|Effective surface area variability factor,Organism|Lumen|Stomach|Distal radius [dm],Organism|Lumen|Stomach|Gastric emptying time [min],Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor,Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor,Organism|Lumen|Stomach|Length [dm],Organism|Lumen|Stomach|Proximal radius [dm],Organism|Lumen|Duodenum|Effective surface area enhancement factor,Organism|Lumen|UpperJejunum|Effective surface area enhancement factor,Organism|Lumen|LowerJejunum|Effective surface area enhancement factor,Organism|Lumen|UpperIleum|Effective surface area enhancement factor,Organism|Lumen|LowerIleum|Effective surface area enhancement factor,Organism|Lumen|Caecum|Effective surface area enhancement factor,Organism|Lumen|ColonAscendens|Effective surface area enhancement factor,Organism|Lumen|ColonTransversum|Effective surface area enhancement factor,Organism|Lumen|ColonDescendens|Effective surface area enhancement factor,Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor,Organism|Lumen|Rectum|Effective surface area enhancement factor,Organism|Stomach|Volume [l],Organism|Stomach|Specific blood flow rate [l/min/kg organ],Organism|SmallIntestine|Small intestinal transit time [min],Organism|SmallIntestine|Volume [l],Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ],Organism|LargeIntestine|Large intestinal transit time [min],Organism|LargeIntestine|Volume [l],Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ],Organism|Liver|Volume [l],Organism|Liver|Specific blood flow rate [l/min/kg organ],Organism|Lung|Volume [l],Organism|Lung|Fraction vascular,Organism|Muscle|Volume [l],Organism|Muscle|Vf (lipid),Organism|Muscle|Vf (neutral lipid)-PT,Organism|Muscle|Vf (phospholipid)-PT,Organism|Muscle|Vf (protein),Organism|Muscle|Vf (water),Organism|Muscle|Vf (water)-PT,Organism|Muscle|Fraction interstitial,Organism|Muscle|Vf (neutral lipid)-RR,Organism|Muscle|Vf (neutral lipid)-WS,Organism|Muscle|Vf (neutral phospholipid)-RR,"Organism|Muscle|Vf (neutral phospholipid, plasma)-WS",Organism|Muscle|Vf (extracellular water)-RR,Organism|Muscle|Vf (protein)-WS,Organism|Muscle|Vf (intracellular water)-RR,Organism|Muscle|Vf (water)-WS,Organism|Muscle|Specific blood flow rate [l/min/kg organ],Organism|Pancreas|Volume [l],Organism|Pancreas|Specific blood flow rate [l/min/kg organ],Organism|PortalVein|Volume [l],Organism|Skin|Volume [l],Organism|Skin|Specific blood flow rate [l/min/kg organ],Organism|Spleen|Volume [l],Organism|Spleen|Specific blood flow rate [l/min/kg organ],PD-1|Reference concentration [µmol/l]
10,MALE,WhiteAmerican_NHANES_1997,Human,76.00677056,0.863402778,1.080523584,0.2545637,0.0011,0.240073491,193.8253574,46.46872783,40,17.793199,0.436070204,0.810384305,0.313960305,0.027946242,12.50173745,1.441859147,0.575788358,13.77274999,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.019578622,0.037680357,0.080203456,0.434823456,0.574017695,0.69297338,30,54,0.083522748,1.5,15.35048377,0,45.30474388,2.866035347,0.788938586,0.5,18.55587209,0.58106337,1.142673581,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.166247672,0.37149795,54.46588644,0.637944366,0.899989784,2652,0.452295059,0.611677839,3.263022307,0.187416258,1.157800048,0.58,35.56327106,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.038594864,0.132087686,0.347683775,0.948197599,3.511753119,0.084591808,0.167983255,0.804479363,1.14E-06
11,MALE,WhiteAmerican_NHANES_1997,Human,72.88771557,0.721934486,0.586771034,0.2545637,0.0011,0.271693005,182.1078115,74.61752673,40,16.37902104,0.435185353,0.890904523,0.351943485,0.027333935,9.373784743,1.300333253,0.537952462,26.87124664,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020479194,0.029720302,0.073433587,0.349634813,0.570029456,0.415821535,30,54,0.125434396,1.5,14.75537148,0,46.71958633,2.661709765,1.591448215,0.5,28.24882318,1.742967444,0.970800995,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.123402101,0.370922584,78.84750384,0.675906074,0.812466654,2652,0.434954354,0.609110932,1.844254704,0.267908523,1.393121064,0.58,24.12403297,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.046583118,0.213104473,0.313796457,0.75650773,3.654225239,0.073005391,0.084817557,0.767898595,1.16E-06
12,MALE,WhiteAmerican_NHANES_1997,Human,101.6166378,0.681281499,0.876210316,0.2545637,0.0011,0.314714265,225.2174019,61.34660761,40,17.96901191,0.451374092,1.178119984,0.417577896,0.024453951,11.71345528,1.461247456,0.51510334,40.17992188,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020444542,0.035192757,0.077970863,0.466439535,0.58129215,0.361877974,30,54,0.102409714,1.5,15.2589611,0,44.40785638,3.335633848,1.402961985,0.5,24.62122165,0.675800527,1.134664209,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.180851399,0.355819631,134.4630682,0.661669644,0.934494885,2652,0.360598472,0.621524483,1.133054633,0.220054077,1.5627464,0.58,36.2096822,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.046757623,0.065754064,0.321457998,0.937482494,4.463560076,0.078463852,0.227405642,0.716186984,1.16E-06
13,FEMALE,WhiteAmerican_NHANES_1997,Human,80.69493439,1.020607879,1.062433628,0.2545637,0.0011,0.303435382,191.1945836,31.29280161,40,16.30759909,0.396378173,0.81014381,0.33141966,0.031662556,9.311904757,1.334474687,0.549041123,36.79882556,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.024641459,0.012649069,0.090075152,0.27970833,0.878396698,0.5155269,30,59,0.115954476,1.5,14.84350695,0,42.39669402,2.688753362,1.728354488,0.5,15.92179433,0.44408041,1.084513943,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.160403325,0.358613083,171.9767349,0.831956052,1.020471522,2652,0.359607869,0.689689512,1.191495543,0.200528028,1.212331714,0.53,23.2901251,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.036052944,0.187820339,0.317997729,0.846845719,2.957527857,0.112763876,0.262168097,0.818501932,1.16E-06
14,FEMALE,WhiteAmerican_NHANES_1997,Human,71.9938253,1.227389139,0.624828415,0.2545637,0.0011,0.270593755,180.6131763,52.80092961,40,16.31130618,0.462265177,0.717173034,0.312350233,0.033645431,9.882831765,1.395359131,0.552364278,25.22913126,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.025677879,0.006593214,0.095635478,0.377009551,0.893462501,0.287374013,30,59,0.098639055,1.5,15.44300629,0,42.22122513,2.663496763,1.369074814,0.5,12.20412665,1.481468483,1.354378156,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.161345729,0.340125687,59.5462613,0.761441434,0.930340856,2652,0.378189865,0.67309986,1.887062628,0.24656417,1.238127014,0.53,25.06211291,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.043422331,0.169165294,0.35204581,0.95917891,3.052336894,0.108065702,0.11704242,0.780497317,1.16E-06
15,FEMALE,WhiteAmerican_NHANES_1997,Human,71.51805252,0.967435373,1.040761105,0.2545637,0.0011,0.249685155,183.3669303,14.85910416,40,16.92432976,0.394511488,0.599378125,0.273259616,0.034424855,8.642018467,1.345776625,0.531300424,28.40590165,0.729718208,0.720596731,0.001824296,0.220281792,0.220281792,0.26433815,0.77806204,0.83917594,0.001459436,0.001846187,0.198253613,0.013216908,0.044056358,0.027275837,0.007308427,0.166578437,0.356696588,1.019074566,0.342417171,30,59,0.082135642,1.5,15.04395729,0,45.74998957,2.815036819,1.005653586,0.492356779,8.617708114,0.665564348,0.780702018,1.969448524,0.492356779,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.13456234,0.437075662,170.9865102,0.514976346,1.11879671,2505,0.295718568,0.812357472,2.936625923,0.210707277,0.559800594,0.53,23.76911049,0.013,0.0238,0.0072,0.177,0.811,0.76,0.18169075,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035315622,0.092084056,0.404281119,0.679473714,2.323389646,0.149951732,0.239554177,0.843632611,1.16E-06
16,FEMALE,WhiteAmerican_NHANES_1997,Human,59.20515937,1.092993044,1.622859227,0.2545637,0.0011,0.23297551,161.9196415,62.59603038,40,15.9413333,0.407958099,0.909991993,0.417453401,0.033301011,8.347984257,1.29355782,0.551067631,21.93572343,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.024085125,0.004161732,0.088778302,0.242790821,0.923271384,0.57160762,30,59,0.108489716,1.5,14.72626241,0,44.96926997,2.873638566,1.115077519,0.5,23.23154252,2.588038578,0.844875017,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.207356535,0.364689957,82.40549874,0.73374014,1.005978275,2652,0.382067385,0.743276488,2.095488712,0.290871876,1.126198896,0.53,17.35281855,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.04616007,0.172794797,0.368537809,0.742406703,2.557955946,0.102644608,0.111060639,0.840364009,1.12E-06
17,FEMALE,WhiteAmerican_NHANES_1997,Human,65.24960503,0.803896326,1.210094115,0.2545637,0.0011,0.269051736,168.0087501,16.72917786,40,15.57295555,0.406274831,0.592483521,0.257169492,0.030942277,7.557583397,1.26535435,0.515768046,30.64285218,0.738069497,0.728843628,0.001845174,0.213083289,0.211930503,0.254316604,0.786966601,0.848779921,0.001476139,0.001867316,0.190737453,0.01271583,0.042386101,0.027700329,0.007823388,0.157371039,0.322235018,1.031683682,0.34191429,30,59,0.141130715,1.5,14.97164198,0,44.46887751,2.623946018,0.662312586,0.494576657,10.92622368,1.415374379,0.568560177,1.978324324,0.494576657,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.105616336,0.423892482,66.89301824,0.503537936,1.095200376,2521.945943,0.381822064,0.861150551,1.834662521,0.213148548,0.664792917,0.53,17.67410751,0.013,0.0238,0.0072,0.177,0.811,0.76,0.17769443,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.030624237,0.099415579,0.403061667,0.6535905,2.153180853,0.133919533,0.191463183,0.742926058,1.14E-06
18,FEMALE,WhiteAmerican_NHANES_1997,Human,66.87366435,0.85557259,0.71917486,0.2545637,0.0011,0.289867328,167.9766669,44.77005977,40,15.18895611,0.416625479,0.836316943,0.303810198,0.032159872,7.65346594,1.165180025,0.506087144,22.86080271,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.024126657,0.009080627,0.093856343,0.381374424,0.935332338,0.424867707,30,59,0.071917501,1.5,14.69826064,0,44.22859548,2.719188093,0.912715303,0.5,17.64685968,0.663949343,1.196030578,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.148200609,0.375766805,115.1698506,0.694878591,0.857819685,2652,0.38365152,0.723004718,2.10249706,0.235540807,1.23451411,0.53,24.56679961,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035785585,0.141016767,0.341017912,0.855806507,3.019402063,0.114625655,0.091998941,0.780322429,1.14E-06
19,FEMALE,WhiteAmerican_NHANES_1997,Human,81.26392963,1.092586078,0.924963165,0.2545637,0.0011,0.262752059,199.2481363,29.42236449,40,17.5863554,0.396129829,0.804956906,0.352603737,0.034936541,11.05688634,1.245355171,0.529424208,27.15326696,0.797304368,0.787338063,0.001993261,0.162310542,0.152695632,0.183234759,0.850125782,0.916900023,0.001594609,0.00201718,0.137426069,0.009161738,0.030539126,0.025879724,0.014026963,0.08535247,0.509068248,0.912805617,0.334440603,30,59,0.114904192,1.5,15.13582304,0,44.9869365,2.494179561,0.521791593,0.49976394,37.6776662,0.803476365,1.0243041,1.999056529,0.49976394,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.225753398,0.359924462,163.4509416,0.754525166,0.903371054,2646.339172,0.392624453,0.748414027,2.781549036,0.205037028,0.975011364,0.53,30.35492162,0.013,0.0238,0.0072,0.177,0.811,0.76,0.160770181,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032555794,0.132989902,0.374833429,0.812782721,3.147584243,0.103818528,0.215582798,0.780283032,1.15E-06
20,FEMALE,WhiteAmerican_NHANES_1997,Human,69.63375518,1.084476959,2.030207592,0.2545637,0.0011,0.26133404,177.6942203,38.46931112,40,16.32344864,0.366308852,0.67058631,0.28334551,0.030249156,8.881492174,1.376879127,0.533314796,22.62673238,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.024533785,0.013689882,0.092046648,0.354342018,0.923121233,0.543443073,30,59,0.117418098,1.5,14.89375875,0,43.84156705,2.813026868,1.453952418,0.5,25.19896613,1.194972826,0.771677147,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.169097243,0.365974848,128.3157798,0.766974513,0.912530287,2652,0.422620711,0.710381758,1.290718244,0.216566094,1.429623123,0.53,26.4803171,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.037204554,0.13568756,0.338205539,0.837137567,3.254089576,0.105088126,0.09697908,0.752100772,1.16E-06
21,FEMALE,WhiteAmerican_NHANES_1997,Human,51.84436295,0.853389046,0.914282437,0.2545637,0.0011,0.280140977,139.9714406,9.287303243,40,13.60386934,0.386313406,0.413756803,0.185565095,0.048582191,4.816115914,1.415421838,0.611243234,29.74588997,0.702895278,0.694109087,0.001757238,0.247104722,0.247104722,0.296525667,0.74946209,0.80832957,0.001405791,0.001778325,0.22239425,0.014826283,0.049420944,0.031551873,0.003988335,0.241074582,0.212355725,1.140643651,0.268083121,30,59,0.131122005,1.5,15.47963286,0,44.05640289,3.331011461,1.292110438,0.410631125,30.43238756,0.594686852,0.910226077,1.642570245,0.410631125,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.096027987,0.515942156,156.9478727,0.35423564,1.09763091,2505,0.228669275,0.894713819,0.918577786,0.28383693,0.392109755,0.53,10.91818161,0.013,0.0238,0.0072,0.177,0.811,0.76,0.245701574,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.037151418,0.099287457,0.622726902,0.43135761,1.177375633,0.240444563,0.167363397,1.181740365,1.16E-06
22,FEMALE,WhiteAmerican_NHANES_1997,Human,73.67509527,0.845983381,2.211581233,0.2545637,0.0011,0.253379626,186.8121171,37.46831286,40,17.05196794,0.343435198,1.027368634,0.242545641,0.033094757,10.65065045,1.388774376,0.518084802,26.02544989,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.02651793,0.013001002,0.088539586,0.390353084,0.883580227,0.33716044,30,59,0.10903226,1.5,14.53028156,0,45.84736221,2.805504156,1.223551924,0.5,21.36634557,1.71904777,1.254476952,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.175921065,0.363734449,162.6601316,0.845108006,0.931215526,2652,0.400294942,0.762147616,2.721307331,0.229781486,1.145287706,0.53,23.42450206,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032476439,0.207347236,0.325913068,0.887853346,3.543832358,0.102844825,0.248337717,0.774456682,1.16E-06
23,FEMALE,WhiteAmerican_NHANES_1997,Human,68.67057507,0.699413182,0.73891052,0.2545637,0.0011,0.227157162,182.1184059,24.18467688,40,17.38689875,0.417638131,0.660253312,0.348815683,0.031977173,10.08929667,1.294644473,0.50630373,23.45761676,0.772861825,0.763201053,0.001932155,0.183261292,0.177138175,0.212565809,0.824063921,0.888791099,0.001545724,0.00195534,0.159424357,0.01062829,0.035427635,0.0273991,0.011097793,0.110784672,0.373284867,0.889461717,0.598435449,30,59,0.093157875,1.5,15.35546198,0,43.85993233,2.680677166,1.617537834,0.497623471,15.36792092,1.452063707,0.88777805,1.990501639,0.497623471,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.141251251,0.390535199,138.6673175,0.707501469,0.96723582,2595.009833,0.384195074,0.805276797,2.450217571,0.221027567,0.905139978,0.53,23.15602247,0.013,0.0238,0.0072,0.177,0.811,0.76,0.167753764,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032644577,0.190804567,0.369078053,0.794263387,2.883896705,0.117202555,0.223837599,0.811852211,1.15E-06
24,FEMALE,WhiteAmerican_NHANES_1997,Human,83.21103175,1.045600477,1.158336258,0.2545637,0.0011,0.309779537,194.6390312,49.59745622,40,16.38943909,0.410950881,0.757058715,0.356785716,0.032208813,9.666870754,1.344488054,0.470825968,37.13210148,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.026188571,0.008412823,0.086585336,0.42306075,0.856227152,0.428132588,30,59,0.147979584,1.5,15.27225638,0,45.08005683,2.964605327,0.758832002,0.5,25.55485338,1.078789466,1.000398156,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.15837016,0.356642756,70.88863779,0.801917892,0.998914679,2652,0.477341763,0.734559587,0.869740634,0.250309283,1.729922275,0.53,24.18215956,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.041140211,0.213611738,0.366616949,0.82399178,3.407564488,0.108013292,0.429500575,0.819198175,1.16E-06
